date,number,domestic,foreign,death
1/20/20,1 ,0 ,1 ,0
1/21/20,0 ,0 ,0 ,0
1/22/20,0 ,0 ,0 ,0
1/23/20,0 ,0 ,0 ,0
1/24/20,1 ,0 ,1 ,0
1/25/20,0 ,0 ,0 ,0
1/26/20,1 ,0 ,1 ,0
1/27/20,1 ,0 ,1 ,0
1/28/20,0 ,0 ,0 ,0
1/29/20,0 ,0 ,0 ,0
1/30/20,3 ,1 ,2 ,0
1/31/20,4 ,3 ,1 ,0
2/1/20,1 ,0 ,1 ,0
2/2/20,3 ,1 ,2 ,0
2/3/20,0 ,0 ,0 ,0
2/4/20,1 ,0 ,1 ,0
2/5/20,5 ,3 ,2 ,0
2/6/20,3 ,1 ,2 ,0
2/7/20,0 ,0 ,0 ,0
2/8/20,0 ,0 ,0 ,0
2/9/20,3 ,1 ,2 ,0
2/10/20,1 ,1 ,0 ,0
2/11/20,0 ,0 ,0 ,0
2/12/20,0 ,0 ,0 ,0
2/13/20,0 ,0 ,0 ,0
2/14/20,0 ,0 ,0 ,0
2/15/20,0 ,0 ,0 ,0
2/16/20,2 ,2 ,0 ,0
2/17/20,0 ,0 ,0 ,0
2/18/20,2 ,2 ,0 ,0
2/19/20,34 ,34 ,0 ,0
2/20/20,16 ,16 ,0 ,1
2/21/20,74 ,74 ,0 ,0
2/22/20,190 ,190 ,0 ,2
2/23/20,210 ,209 ,1 ,0
2/24/20,207 ,206 ,1 ,4
2/25/20,130 ,129 ,1 ,1
2/26/20,253 ,252 ,1 ,3
2/27/20,449 ,447 ,2 ,1
2/28/20,427 ,427 ,0 ,1
2/29/20,909 ,909 ,0 ,3
3/1/20,595 ,593 ,2 ,1
3/2/20,686 ,684 ,2 ,6
3/3/20,600 ,599 ,1 ,5
3/4/20,516 ,516 ,0 ,4
3/5/20,438 ,437 ,1 ,3
3/6/20,518 ,518 ,0 ,7
3/7/20,483 ,483 ,0 ,2
3/8/20,367 ,366 ,1 ,6
3/9/20,248 ,247 ,1 ,1
3/10/20,131 ,131 ,0 ,3
3/11/20,242 ,239 ,3 ,6
3/12/20,114 ,112 ,2 ,6
3/13/20,110 ,107 ,3 ,1
3/14/20,107 ,102 ,5 ,5
3/15/20,76 ,72 ,4 ,3
3/16/20,74 ,70 ,4 ,0
3/17/20,84 ,79 ,5 ,6
3/18/20,93 ,80 ,13 ,3
3/19/20,152 ,135 ,17 ,7
3/20/20,87 ,73 ,14 ,3
3/21/20,147 ,126 ,21 ,8
3/22/20,98 ,77 ,21 ,2
3/23/20,64 ,46 ,18 ,7
3/24/20,76 ,46 ,30 ,9
3/25/20,100 ,42 ,58 ,6
3/26/20,104 ,56 ,48 ,5
3/27/20,91 ,57 ,34 ,8
3/28/20,146 ,90 ,56 ,5
3/29/20,105 ,38 ,67 ,8
3/30/20,78 ,35 ,43 ,6
3/31/20,125 ,88 ,37 ,4
4/1/20,101 ,56 ,45 ,3
4/2/20,89 ,43 ,46 ,4
4/3/20,86 ,37 ,49 ,5
4/4/20,94 ,53 ,41 ,3
4/5/20,81 ,31 ,50 ,6
4/6/20,47 ,25 ,22 ,3
4/7/20,47 ,23 ,24 ,6
4/8/20,53 ,23 ,30 ,8
4/9/20,39 ,13 ,26 ,4
4/10/20,27 ,17 ,10 ,4
4/11/20,30 ,16 ,14 ,3
4/12/20,32 ,9 ,23 ,3
4/13/20,25 ,10 ,15 ,3
4/14/20,27 ,11 ,16 ,5
4/15/20,27 ,13 ,14 ,3
4/16/20,22 ,11 ,11 ,4
4/17/20,22 ,7 ,15 ,1
4/18/20,18 ,9 ,9 ,2
4/19/20,8 ,2 ,6 ,2
4/20/20,13 ,6 ,7 ,2
4/21/20,9 ,4 ,5 ,1
4/22/20,11 ,5 ,6 ,1
4/23/20,8 ,4 ,4 ,2
4/24/20,6 ,4 ,2 ,0
4/25/20,10 ,5 ,5 ,0
4/26/20,10 ,1 ,9 ,2
4/27/20,10 ,3 ,7 ,1
4/28/20,14 ,2 ,12 ,1
4/29/20,9 ,4 ,5 ,2
4/30/20,4 ,0 ,4 ,1
5/1/20,9 ,1 ,8 ,1
5/2/20,6 ,0 ,6 ,2
5/3/20,13 ,3 ,10 ,0
5/4/20,8 ,0 ,8 ,2
5/5/20,3 ,0 ,3 ,2
5/6/20,2 ,0 ,2 ,1
5/7/20,4 ,1 ,3 ,1
5/8/20,12 ,1 ,11 ,0
5/9/20,18 ,17 ,1 ,0
5/10/20,34 ,26 ,8 ,0
5/11/20,35 ,29 ,6 ,0
5/12/20,27 ,22 ,5 ,2
5/13/20,26 ,22 ,4 ,1
5/14/20,29 ,26 ,3 ,1
5/15/20,27 ,22 ,5 ,0
5/16/20,19 ,9 ,10 ,2
5/17/20,13 ,6 ,7 ,0
5/18/20,15 ,5 ,10 ,1
5/19/20,13 ,9 ,4 ,0
5/20/20,32 ,24 ,8 ,0
5/21/20,12 ,10 ,2 ,1
5/22/20,20 ,11 ,9 ,0
5/23/20,23 ,19 ,4 ,2
5/24/20,25 ,17 ,8 ,0
5/25/20,16 ,13 ,3 ,1
5/26/20,19 ,16 ,3 ,2
5/27/20,40 ,37 ,3 ,0
5/28/20,79 ,68 ,11 ,0
5/29/20,58 ,55 ,3 ,0
5/30/20,39 ,27 ,12 ,0
5/31/20,27 ,15 ,12 ,1
6/1/20,35 ,30 ,5 ,1
6/2/20,38 ,36 ,2 ,1
6/3/20,49 ,46 ,3 ,1
6/4/20,39 ,33 ,6 ,0
6/5/20,39 ,34 ,5 ,0
6/6/20,51 ,43 ,8 ,0
6/7/20,57 ,53 ,4 ,0
6/8/20,37 ,32 ,5 ,0
6/9/20,38 ,35 ,3 ,1
6/10/20,50 ,43 ,7 ,2
6/11/20,45 ,40 ,5 ,0
6/12/20,56 ,43 ,13 ,1
6/13/20,48 ,43 ,5 ,0
6/14/20,34 ,31 ,3 ,0
6/15/20,37 ,24 ,13 ,0
6/16/20,34 ,21 ,13 ,1
6/17/20,43 ,31 ,12 ,1
6/18/20,59 ,51 ,8 ,1
6/19/20,49 ,32 ,17 ,0
6/20/20,67 ,36 ,31 ,0
6/21/20,48 ,40 ,8 ,0
6/22/20,17 ,11 ,6 ,0
6/23/20,46 ,16 ,30 ,1
6/24/20,51 ,30 ,21 ,0
6/25/20,28 ,23 ,5 ,1
6/26/20,39 ,26 ,13 ,0
6/27/20,51 ,31 ,20 ,0
6/28/20,62 ,40 ,22 ,0
6/29/20,42 ,30 ,12 ,0
6/30/20,42 ,22 ,20 ,0
7/1/20,51 ,36 ,15 ,0
7/2/20,54 ,44 ,10 ,0
7/3/20,61 ,49 ,12 ,0
7/4/20,63 ,36 ,27 ,1
7/5/20,61 ,43 ,18 ,0
7/6/20,48 ,24 ,24 ,1
7/7/20,44 ,20 ,24 ,1
7/8/20,62 ,30 ,32 ,0
7/9/20,50 ,28 ,22 ,2
7/10/20,45 ,23 ,22 ,1
7/11/20,35 ,20 ,15 ,0
7/12/20,44 ,21 ,23 ,1
